id,item,category
fL8wqmIfGT4VvZo39uYC,Apples,Fresh fruit & vegetables
sxyNl7roT7pQNk5Jys6g,Asparagus,Fresh fruit & vegetables
tKu02xnW4j95IF1uRtMD,Avocados,Fresh fruit & vegetables
IYbNlyEDq7EVsYFpBQUr,Bananas,Fresh fruit & vegetables
ynGLVaiqI3Uo5LA47g2b,Broccoli,Fresh fruit & vegetables
5bPFAOrirUPerbWdSuNf,Brown onions,Fresh fruit & vegetables
h1h3I8ztoJQyThouh7nE,Carrots,Fresh fruit & vegetables
eO4K7a0t2903qeBXKgyZ,Capsicums,Fresh fruit & vegetables
4O7dsa3lFor2Fk9UZAkO,Cauliflower,Fresh fruit & vegetables
gAzcROzQFFAcZsWHEXLc,Celery,Fresh fruit & vegetables
E4hwBvFgoeS2MlT3u0CR,Cucumbers,Fresh fruit & vegetables
UyJj9eMesJx3qxNj7keo,Garlic,Fresh fruit & vegetables
CsvP8O8r9Agnm8cpK40q,Lettuce,Fresh fruit & vegetables
GYAwl5zd0dOYzyNMwXmh,Pears,Fresh fruit & vegetables
TPjCoff7bdWkROLHtiPb,Potatoes,Fresh fruit & vegetables
IFPoYKSp75v8wkt1UVkG,Pumpkin,Fresh fruit & vegetables
5mRMUclXWt07C5dZXz0N,Oranges,Fresh fruit & vegetables
5k3XNTADSX6qiBXWiI8i,Onions,Fresh fruit & vegetables
5z2CGIVSa9X1t5OnSl2Q,Red onions,Fresh fruit & vegetables
O1ptBMlZZPZ37MZwomzG,Sweet potatoes,Fresh fruit & vegetables
9A3h3SXoack65okRTzbf,Tomatoes,Fresh fruit & vegetables
OorvlEkQ1bgnn7q6ajaw,Zucchini,Fresh fruit & vegetables
26jSUEMtPbPGMzgXrnsC,Bacon,Deli meats
SLPoXwgBSOZUc25KNwhx,Chorizo,Deli meats
SpP5CwywutnuPkaJkJXb,Ham,Deli meats
fjxwTkd1sAx066Csjs0t,Pancetta,Deli meats
yL0MTIJi3vmpF3HxX3E4,Proscuitto,Deli meats
OzkolcwH9uEOczPy1Igl,Salami,Deli meats
ho6nz2Xh5HDR3wCvoUZm,Turkey,Deli meats
ua3y1le2HwTgyPtq9kFf,Milk,Milk
5O3n4mF6eD8oLSuvfWQe,Bread,Bread
JI1MqNSCaLW91Xtwets1,Bread,Bakery
oA0lsJTqhnU9bMaflGCI,Wraps,Wraps
JtIrCrUFQ8sdIt9scLXp,Flat bread,Bread
Ix0kGO0OaNyitAtswZTs,Bread rolls,Rolls
Y6JWBZd0kwPd4SwSArlT,Eggs,Eggs
a92x5NN4uDOOvcFMWkZN,Butter,Butter
zvPsLWZr7WvNMZgXNOXB,Cheese,Cheese
d7408WengvySMeB0NnHz,Sliced cheese,Cheese
fA37bh0zOnMvV2zCSeH0,Grated cheese,Cheese
56MnBa7WH5zCR7YIv77j,Yoghurt,Yoghurt
uxhYQfUJWJfpAnk9sByr,Chicken,Chicken
qUnWWsmvWfBIT2QLHRqA,Chicken breast,Chicken
M2vQzVeJJToRCIlPFRO6,Chicken thigh,Chicken
qg904xN9Bw59ATZ3ggoQ,Chicken tenderloin,Chicken
4boTuWZ3Wt9HFhLKUMaS,Beef,Beef
V6kqaCDapyw6zsQOXn51,Beef mince,Beef
rU7erXbNsfKzHkBY9eh5,Pork,Pork
el9dbREgxQpJq3gPtvVI,Pork chops,Pork
SWWl1arzDJfDqO24diTD,Rice,Rice
9M2NDGcilVo9pvS68QNp,Pasta,Pasta
YMxpqNVorGU3zbhLX8Wd,Honey,Spreads
pufoHNTXRxCDpozkdNsu,Jam,Spreads
FDrumgFrN3n1k9ajoPAG,Nutella,Spreads
q2IkHv9dJS3B5IQtHoxl,Peanut butter,Spreads
wweGbPXmkaO4SeVBGf4O,Vegemite,Spreads
FsyXSoQU3qbSDIX3odJ3,Cereal,Cereal
Y4cHJYC1a2GWxCTz3CfV,Muesli,Oats
SGk9g18csZbWVgGHTTso,Muesli bars,Muesli bars
b7MQux5bWx4VIggNIi7s,Granola bars,Muesli bars
CcCKZ4Q92VOPh5b9GkYL,Chips,Chips
ANLTxbpWZobC47BumXth,Salsa,Mexican
