id,item,category
KvbcPIhpAd7mvvLMlZMj,Cookies,Biscuits
H6h1ns3DMGSrdW4FY2iE,Crackers,Crackers
I8qUhEHoViCnGumbAWgr,Popcorn,Popcorn
xm9KDcQrqQLdiAeDPq6W,Ice Cream,Ice cream
GDzLWQtx5Sa9gwITZEyk,Frozen pizza,Frozen food
47lGMVAJThEcFSK0L0vg,Party pies,Frozen food
OQemaJAYZnchubKWgrj6,Sausage rolls,Frozen food
tGidCqPP0xUegvy99RLc,Garbage bags,Garbage bags
4uxpCJ3qIJ8DZgc3vwTG,Toilet paper,Toilet paper
H7DIUx5PAocsvE4aF39x,Paper towels,Paper towels
KxGdF4MMKviYKRlxt6k9,Tissues,Tissues
tdg6nKmJhWRKkaHwEMMC,Air freshener,Air freshener
aVUBWtgRsEhhHvrVqK2M,Deodorant,Deodorant
2nkoqcZDJMd0IH677Fyt,Shampoo,Hair care
rRyLCJPGGRZ968o10UIU,Conditioner,Hair care
wCfBPpqmNyKrKZ3j3oYu,Alfoil,Foil & wraps
XzjJStvYCA0OpoYsxRlx,Aluminium foil,Foil & wraps
e72cSnj1wNKOMu1tkJzR,Baking paper,Foil & wraps
tEe3zvKdiR3E7t25lhEe,Cling film,Foil & wraps
r9Np27lGfVM6LHbHnO7n,Cling wrap,Foil & wraps
Kfk2RmgAtQkU8iUHKccn,Cayenne pepper,Herbs & spices
XAl7stgpCWXIEDh37AP9,Chilli powder,Herbs & spices
ISIAzfJwO7ACTrgoH4sA,Chilli flakes,Herbs & spices
XO4DSwHrPtZ4DBk4xj2j,Cinnamon,Herbs & spices
LA15dw4ERVmpfOJdXp18,Cloves,Herbs & spices
wxfV6Qi6BtfSb31XD3OH,Coriander,Herbs & spices
irV01vlq56gKE98aYlIl,Cumin,Herbs & spices
3jidMmGQNyxG8YDb2Pot,Curry powder,Herbs & spices
2c1RCOTBO0c5LlCKpELI,Ginger,Herbs & spices
ptpS3BsmztQwfRhOMXrI,Mixed herbs,Herbs & spices
CxO6eYmmLLqEX0hxgAUF,Mixed spice,Herbs & spices
DZ9oP30hRZnxG3pE8bmT,Nutmeg,Herbs & spices
LDG1vYGSfhoa4ZFqhP8Z,Onion powder,Herbs & spices
zArexq81QYwzgM9HEvjy,Onion salt,Herbs & spices
eUHs4YMVKjslfwrBoNiN,Oregano,Herbs & spices
AyJEyxcNxblQSijGcdUa,Paprika,Herbs & spices
oGBSjIMG2MjP0xlSwvin,Parsley,Herbs & spices
2GmYELsYqinE97F6ZwNf,Pepper,Herbs & spices
ATDntzHvDoojoXQroaDU,Rosemary,Herbs & spices
V8iQ3HhEzXrAy9wLTfzD,Salt,Herbs & spices
YRDCVfeDwVhLhcwh1p9f,Thyme,Herbs & spices
jE8SRqaQPOLC5aSddVtA,Turmeric,Herbs & spices
v1BCAiKrReJDwy0Ur5ps,Olive oil,Oils
k4uwCZgmXJdvyKsOjIt0,Vegetable oil,Oils
stk1uFshs4zumUvJ37ac,Canola oil,Oils
rqcbi6h5Jwzzw8QEVOzx,Sunflower oil,Oils
Jfn6aT0yeVfOZ5WXaVMr,Balsamic vinegar,Vinegar
gbJMzIEJP4kWLXCZohiK,Red wine vinegar,Vinegar
D1adTS8MzOba4gmH5uD9,White vinegar,Vinegar
3BVjYPBO76tgOE7p4DFL,Apple cider vinegar,Vinegar
5EsSKcgAkKpN2CP0DOtx,BBQ sauce,Sauces & condiments
XLB5Dy6dV35bGt9JZZVK,Chilli sauce,Sauces & condiments
Rx7in2jLxssTuOB0oWyi,Mayonnaise,Sauces & condiments
NUT63hwefBEoRBP5xhpA,Mustard,Sauces & condiments
BLj1ERP07HigXJQaNZCG,Siracha,Sauces & condiments
a8WuFkCQtSNj3ZLIOC2O,Sweet chilli sauce,Sauces & condiments
QuQefHzJAarlW2BkeWWe,Tomato sauce,Sauces & condiments
lqDNxWURQNhROk50ZWQj,Worcestershire sauce,Sauces & condiments
ScNhkb34juoVNebOxwXN,Dark soy sauce,Asian
hXJA56lGPfFVjrVCSQdd,Fish sauce,Asian
TrQBs2HDlWOJwTrVQ6FP,Hoisin sauce,Sauces & condiments
s40PWgLwGw8lKDRavBp5,Oyster sauce,Sauces & condiments
IF9D8jz6N3sIdb0oq0iS,Soy sauce,Asian
XuZZ2jICiVehaQDvoJEF,Tamari,Asian
DDVzZYCtY5zATv0ZqhPj,Teriyaki sauce,Asian
